ID	Gene	Protein	Category	Sub-category	Pathway/Activity	EC	KO	UniProt
AF-I3YFK7-F1-model_v4	Group1c_NiFe-Hyd_large	Group1c [NiFe]-hydrogenase large subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K00437	I3YFK7
AF-F9U5A4-F1-model_v4	Group1d_NiFe-Hyd_large	Group1d [NiFe]-hydrogenase large subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K00437	F9U5A4
AF-D6ZK51-F1-model_v4	Group1f_NiFe-Hyd_large	Group1f [NiFe]-hydrogenase large subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K00437	D6ZK51
AF-K6V5B3-F1-model_v4	Group1h_NiFe-Hyd_large	Group1h [NiFe]-hydrogenase large subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K00437	K6V5B3
AF-F7YAW7-F1-model_v4	Group2a_NiFe-Hyd_large	Group2a [NiFe]-hydrogenase large subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K00437	F7YAW7
AF-I3YFK4-F1-model_v4	Group1c_NiFe-Hyd_small	Group1c [NiFe]-hydrogenase small subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K18008	I3YFK4
AF-F9U5A3-F1-model_v4	Group1d_NiFe-Hyd_small	Group1d [NiFe]-hydrogenase small subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K18008	F9U5A3
AF-D6ZK52-F1-model_v4	Group1f_NiFe-Hyd_small	Group1f [NiFe]-hydrogenase small subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K18008	D6ZK52
AF-K6WGW5-F1-model_v4	Group1h_NiFe-Hyd_small	Group1h [NiFe]-hydrogenase small subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K18008	K6WGW5
AF-F7YAW8-F1-model_v4	Group2a_NiFe-Hyd_small	Group2a [NiFe]-hydrogenase small subunit	Trace gas oxidation	Atmospheric hydrogen oxidation	Atmospheric hydrogen oxidation	1.12.2.1	K18008	F7YAW8
AF-P19913-F1-model_v4	coxL	Carbon monoxide dehydrogenase large chain	Trace gas oxidation	Carbon monoxide oxidation	Carbon monoxide oxidation	1.2.5.3	K03520	P19913
AF-P19914-F1-model_v4	coxM	Carbon monoxide dehydrogenase medium chain	Trace gas oxidation	Carbon monoxide oxidation	Carbon monoxide oxidation	1.2.5.3	K03519	P19914
AF-P19915-F1-model_v4	coxS	Carbon monoxide dehydrogenase small chain	Trace gas oxidation	Carbon monoxide oxidation	Carbon monoxide oxidation	1.2.5.3	K03518	P19915
AF-P22868-F1-model_v4	mmoC	Soluble methane monooxygenase reductase component	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.13.25	K16161	P22868
AF-Q53563-F1-model_v4	mmoC	Soluble methane monooxygenase reductase component	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.13.25	K16161	Q53563
AF-P27353-F1-model_v4	mmoX	Soluble methane monooxygenase hydroxylase component alpha subunit	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.13.25	K16157	P27353
